Word,DocId:Occurrence
assim,"[(1, 1), (4, 1), (6, 2), (8, 1), (13, 2), (14, 1), (15, 1), (16, 2), (19, 4), (23, 3), (25, 2), (28, 1), (33, 1), (37, 2), (41, 1), (46, 2), (55, 1), (60, 1), (63, 4), (69, 2), (76, 4), (77, 1), (84, 2), (86, 1), (89, 1), (90, 1), (92, 1), (94, 1), (104, 1), (107, 1), (112, 2), (123, 1), (130, 1), (135, 1), (136, 1), (138, 3), (139, 1), (140, 1), (141, 1), (143, 1), (144, 1), (150, 1), (151, 4), (152, 2), (156, 1), (158, 1), (164, 1), (166, 7), (173, 4), (176, 1), (180, 1), (182, 1), (183, 2), (184, 3), (185, 2), (187, 1), (190, 1), (191, 1), (194, 1), (195, 1), (201, 2), (203, 2), (207, 1), (208, 2), (210, 1), (211, 2), (212, 1), (213, 1), (216, 2), (217, 2), (218, 1), (222, 1), (223, 1), (228, 1), (238, 1), (239, 2), (244, 1), (245, 3), (246, 1), (247, 1), (248, 2), (249, 3)]"
Ivani,"[(1, 1), (2, 1)]"
julgar,"[(1, 1), (103, 1), (138, 1), (241, 1)]"
questão,"[(1, 2), (3, 3), (10, 1), (11, 3), (25, 4), (37, 2), (41, 1), (63, 1), (70, 1), (108, 1), (119, 1), (125, 1), (133, 2), (135, 1), (138, 1), (152, 1), (154, 1), (166, 2), (167, 1), (173, 1), (175, 1), (179, 1), (197, 1), (206, 1), (208, 1), (216, 2), (221, 6), (223, 1), (225, 1), (230, 1), (239, 1), (242, 1), (248, 3)]"
história,"[(1, 1), (3, 11), (5, 1), (6, 8), (8, 1), (9, 2), (11, 1), (12, 1), (13, 3), (14, 4), (15, 1), (17, 2), (25, 6), (34, 3), (40, 1), (41, 1), (50, 1), (51, 1), (53, 1), (54, 1), (55, 2), (60, 1), (63, 2), (69, 1), (74, 1), (76, 1), (80, 1), (95, 1), (97, 1), (100, 1), (109, 1), (113, 1), (114, 1), (121, 1), (129, 1), (132, 1), (138, 1), (143, 2), (146, 4), (151, 4), (159, 1), (160, 3), (162, 1), (164, 2), (165, 1), (166, 3), (167, 1), (168, 1), (169, 2), (171, 1), (172, 1), (173, 1), (174, 1), (177, 1), (178, 1), (181, 1), (182, 2), (184, 3), (186, 2), (187, 1), (188, 1), (190, 2), (193, 2), (195, 1), (196, 1), (197, 3), (198, 7), (199, 2), (200, 1), (204, 1), (208, 2), (212, 1), (216, 3), (218, 1), (221, 1), (223, 2), (224, 1), (228, 1), (229, 1), (233, 3), (238, 1), (241, 1), (244, 2), (248, 2)]"
datas,"[(1, 1), (63, 1), (172, 1), (178, 1), (207, 1), (212, 1), (238, 1)]"
suspender,"[(1, 1), (143, 2)]"
tensão,"[(1, 1), (32, 1), (43, 1), (86, 1), (99, 1), (129, 1), (151, 1), (166, 1), (198, 1), (214, 2), (216, 4), (217, 1)]"
Ministério,"[(1, 2), (6, 1), (14, 1), (26, 1), (37, 1), (39, 2), (42, 1), (61, 1), (65, 2), (75, 1), (76, 2), (84, 1), (89, 1), (104, 1), (115, 4), (124, 3), (151, 2), (160, 2), (162, 2), (166, 2), (169, 1), (171, 2), (173, 1), (202, 2), (203, 4), (205, 3), (207, 1), (208, 1), (214, 1), (215, 1), (217, 1), (219, 2), (220, 3), (221, 3), (223, 3), (226, 1), (233, 2), (241, 1), (246, 1)]"
disponível,"[(1, 1), (55, 1), (80, 1), (86, 1), (119, 1), (205, 1), (211, 2)]"
